avg_ratings,num_pages,num_ratings,num_reviews,publish_date,Young Adult,Thriller,Science Fiction,Paranormal,Fantasy,Novels,Historical,Fiction,Crime,Adult,Mystery,Nonfiction,Philosophy,Romance,Suspense,History,Classics,Childrens,Psychology,Contemporary,Literature,Biography,Humor,Cultural,Historical Fiction,Horror,publish_year,publish_month,num_awards,kindle_price
3.73,352.0,"6,468",296,2002-12-06 00:00:00,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2002,12,1,$7.99
4.04,413.0,"13,019",843,1994-10-15 00:00:00,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1994,10,0,$9.99
4.04,413.0,"13,016",842,1994-10-15 00:00:00,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1994,10,0,$9.99
3.58,287.0,78,19,1991-12-01 00:00:00,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1991,12,0,$3.99
3.92,435.0,"1,702",99,1989-04-10 00:00:00,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1989,4,0,$5.99
3.78,336.0,"15,658",530,2004-07-11 00:00:00,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,2004,7,1,$7.99
3.82,480.0,"13,539",282,2004-12-28 00:00:00,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2004,12,0,$7.99
4.18,331.0,"30,790",883,2005-06-28 00:00:00,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2005,6,0,$8.99
4.34,378.0,"35,340",997,2005-12-27 00:00:00,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2005,12,0,$8.99
4.15,353.0,"29,845","1,009",2006-11-28 00:00:00,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2006,11,0,$8.99
3.86,309.0,"4,310",376,2004-12-28 00:00:00,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2004,12,0,$0.00
4.0,496.0,"5,258",304,2005-03-01 00:00:00,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2005,3,0,$7.99
3.73,370.0,"6,642",210,2005-08-30 00:00:00,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2005,8,0,$8.99
4.21,314.0,"21,214",596,2009-02-02 00:00:00,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2009,2,0,$7.99
3.82,308.0,"125,718","3,338",2005-11-01 00:00:00,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2005,11,1,$8.99
3.83,310.0,"36,437","1,303",2005-11-29 00:00:00,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2005,11,2,$8.99
3.87,305.0,"32,313",953,2005-11-29 00:00:00,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2005,11,2,$8.99
3.88,320.0,"26,637",679,2005-11-29 00:00:00,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2005,11,1,$8.99
3.76,272.0,"13,948","1,392",2006-03-07 00:00:00,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2006,3,0,$7.99
3.92,592.0,"4,069",243,2006-03-07 00:00:00,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2006,3,1,$7.99
4.08,162.0,13,4,1985-01-01 00:00:00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1985,1,0,$0.00
4.16,544.0,"9,855",332,2006-10-03 00:00:00,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,2006,10,0,$9.99
4.2,539.0,"22,290","1,419",2009-09-29 00:00:00,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2009,9,0,$8.99
3.77,224.0,13,4,1987-01-01 00:00:00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1987,1,1,
4.13,310.0,"23,521",763,2008-11-02 00:00:00,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2008,11,0,$7.99
3.96,282.0,"1,260",85,2008-03-04 00:00:00,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2008,3,0,$8.99
3.89,293.0,"76,798","7,658",2007-05-01 00:00:00,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2007,5,5,$7.99
3.9,293.0,"76,778","7,658",2007-05-01 00:00:00,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2007,5,5,$7.99
4.1,360.0,"24,499","1,343",2008-09-30 00:00:00,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2008,9,1,$7.99
4.18,373.0,"25,670","1,331",2009-09-22 00:00:00,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2009,9,0,$5.99
