Unnamed: 0,avg_ratings,num_pages,num_ratings,num_reviews,publish_date,Unnamed: 9,year,date_key,Young Adult,Thriller,Science Fiction,Paranormal,Fantasy,Novels,Historical,Fiction,Crime,Adult,Mystery,Nonfiction,Philosophy,Romance,Suspense,History,Classics,Childrens,Psychology,Contemporary,Literature,Biography,Humor,Cultural,Historical Fiction,Horror,publish_year,publish_month,num_awards,Unnamed: 67
3235,4.32,200.0,22,4,4/27/2014 0:00,04-27,2014,2017-04-27,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,4,0,
3236,4.4,161.0,15,6,6/1/2014 0:00,06-01,2014,2017-06-01,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,6,0,
3237,4.36,210.0,64,22,1/14/2014 0:00,01-14,2014,2017-01-14,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,1,0,
3238,4.07,284.0,14,6,5/10/2014 0:00,05-10,2014,2017-05-10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,5,0,
3240,5.0,284.0,2,1,4/4/2014 0:00,04-04,2014,2017-04-04,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,4,0,
3241,4.17,316.0,6,3,8/16/2014 0:00,08-16,2014,2017-08-16,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,8,0,
3243,4.01,443.0,658,121,5/4/2014 0:00,05-04,2014,2017-05-04,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,5,0,
3245,4.42,270.0,19,10,4/8/2014 0:00,04-08,2014,2017-04-08,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,4,0,
3247,3.92,505.0,600,116,8/28/2014 0:00,08-28,2014,2017-08-28,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2014,8,0,
3248,4.47,281.0,59,9,6/12/2014 0:00,06-12,2014,2017-06-12,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2014,6,0,
3262,3.63,320.0,"3,151",668,9/16/2014 0:00,09-16,2014,2017-09-16,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2014,9,0,
3266,3.88,400.0,"21,851","3,230",10/7/2014 0:00,10-07,2014,2017-10-07,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2014,10,0,
3267,4.24,234.0,385,58,5/1/2014 0:00,05-01,2014,2017-05-01,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2014,5,0,
3276,4.5,176.0,10,5,10/24/2014 0:00,10-24,2014,2017-10-24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,10,0,
