,Urban Fantasy,Academic,Detective,Chick Lit,Young Adult,Womens Fiction,Paranormal Romance,Memoir,Thriller,Realistic Fiction,Dystopia,Science Fiction,Paranormal,Adventure,Fantasy,Novels,Historical,Fiction,Crime,Adult,Mystery,Nonfiction,Magic,Philosophy,Romance,Middle Grade,Suspense,History,War,Classics,Christian,Childrens,Autobiography,Psychology,Religion,Contemporary,Literature,Biography,Teen,European Literature,Contemporary Romance,Vampires,Adult Fiction,Humor,Mystery Thriller,Short Stories,Cultural,Historical Fiction,New Adult,Horror,year,female_to_male_ratio
64,,0.7142857142857143,0.5416666666666666,,0.6666666666666666,,,,0.42333333333333334,,0.6666666666666666,0.5111111111111111,,,0.5208333333333333,,0.5666666666666667,inf,inf,,inf,0.14285714285714285,,0.14285714285714285,0.5,,0.2,,,inf,,inf,,,,,0.5562456866804693,,,0.4067460317460318,,,,0.3333333333333333,0.4166666666666667,0.5,0.3958333333333333,0.5666666666666667,,0.2,1976,
65,,,0.8129186602870814,,0.75,,,,0.8875,,0.9666666666666667,0.8300000000000001,,0.2857142857142857,inf,0.8,0.7494708994708995,0.8726003528635107,0.7661483253588517,,0.8164593301435407,inf,0.5,0.5656565656565656,,,0.7000000000000001,,,0.8406204906204906,,0.5,,inf,,,0.9428571428571428,,,0.7083333333333333,,,,1.2380952380952381,0.0,1.0,0.8333333333333334,0.4742063492063492,,1.1199999999999999,1977,
66,,,0.5271739130434783,0.0,0.75,0.0,,,1.5,0.0,,,1.5,0.3333333333333333,0.8333333333333334,,1.5,0.8572463768115942,0.7028985507246377,,0.7217391304347827,0.8564814814814815,,1.6666666666666667,1.5,,,0.625,,0.8285024154589373,0.2222222222222222,0.95,,,0.2222222222222222,0.0,0.6,,0.0,1.6666666666666667,,,,,,,0.3333333333333333,1.5,,1.5,1978,
67,,,,,0.9642857142857142,,,,0.8333333333333333,,,0.7619047619047619,,,0.7619047619047619,,0.5,0.8538690476190477,,,1.2023809523809523,1.25,,1.25,,,,,,0.8112554112554111,0.5333333333333333,0.5238095238095237,,1.25,0.5333333333333333,,0.9047619047619048,,,0.5,,,,,,1.0,0.5,0.5,,1.3809523809523807,1979,
68,,,0.47222222222222227,,4.0,,,0.15,1.54491341991342,,,1.3333333333333333,,5.0,0.7267022193492781,0.6666666666666666,inf,inf,0.6129984051036683,0.39215686274509803,1.1660135744888067,0.15,,,inf,,0.39215686274509803,0.15,0.15,inf,,0.038461538461538464,0.15,,,,0.0,,,0.5555555555555555,,,,0.5,0.22727272727272727,0.7142857142857143,0.0,inf,,1.219047619047619,1980,
69,,,,,inf,,,,0.22857142857142856,,,0.2,,0.3846153846153846,0.75,,0.45512820512820507,inf,0.2857142857142857,,0.2857142857142857,0.125,,0.8333333333333334,inf,,,,,0.7051282051282052,0.25,,,1.0,0.638888888888889,,0.6974358974358974,0.25,0.6666666666666666,,,,,,,,0.5769230769230769,0.45512820512820507,,inf,1981,
70,,,1.0,,,,,,0.48071808510638303,,,0.5,,0.42857142857142855,inf,0.5476190476190476,inf,inf,0.605718085106383,,0.6223404255319148,0.16666666666666666,,0.0,inf,,0.625,0.0,2.0,0.4722222222222222,0.3333333333333333,,,0.5714285714285714,0.16666666666666666,0.7023809523809524,0.5520833333333334,,,0.375,,,,0.0,0.2978723404255319,1.0,0.2978723404255319,inf,,1.0,1982,
71,,,0.75,,inf,,,1.0,0.5916666666666667,inf,0.3333333333333333,0.3484848484848485,,0.0,0.3757575757575758,inf,0.7652347652347651,inf,0.47222222222222215,,0.6861111111111112,0.3333333333333333,,0.24242424242424243,0.19607843137254902,,,,0.6435897435897436,inf,0.5,1.064625850340136,1.0,,0.0,0.3333333333333333,inf,1.0,,1.0,,,0.29411764705882354,0.4090909090909091,,0.3333333333333333,inf,0.7495837495837494,,0.6666666666666666,1983,
72,,,inf,0.5,0.75,0.5,,,inf,1.0,0.4,inf,,0.5928571428571429,inf,inf,0.803809523809524,inf,inf,,inf,0.5333333333333333,,0.594017094017094,,,0.9,1.0,0.3333333333333333,inf,,0.5666666666666667,,0.5,,inf,inf,1.0,1.0,inf,,,,1.0303030303030303,inf,inf,1.2,0.803809523809524,,inf,1984,
73,,0.38,0.5,,0.9676190476190475,,,0.6944444444444444,inf,,0.14285714285714285,0.4693877551020408,,0.8333333333333334,0.38040816326530613,,0.8432653061224489,inf,0.8333333333333334,,inf,0.6315192743764173,,0.5,0.6433333333333334,1.38,1.0666666666666667,,,0.5704761904761904,0.5714285714285714,0.8357881334351923,0.6944444444444444,,0.5476190476190476,,0.44285714285714284,0.0,,0.875,,,,1.3888888888888888,inf,2.0,2.0,0.8432653061224489,,,1985,
